,RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,label
9495,CA00-0000018578,2006,7,Los Angeles,Santa Clarita,2,2,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
9496,CA00-0000018690,2006,8,Los Angeles,Santa Clarita,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Graffiti,4.0
9497,CA00-0000018796,2006,9,Los Angeles,Santa Clarita,2,2,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9498,CA00-0000018921,2006,10,Los Angeles,Santa Clarita,1,1,White,3,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
9499,CA00-0000019034,2006,11,Los Angeles,Santa Clarita,1,1,White,1,Simple Assault,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9500,CA00-0000019166,2006,12,Los Angeles,Santa Clarita,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,4.0
9501,CA00-0000017848,2006,1,Los Angeles,Diamond Bar,1,1,Unknown,1,Intimidation,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,4.0
9502,CA00-0000017930,2006,2,Los Angeles,Diamond Bar,1,1,Asian/Pacific Islander,1,Aggravated Assault,Violent Crimes,Service/Gas Station,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9503,CA00-0000018576,2006,7,Los Angeles,Calabasas,1,1,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,None,Graffiti,4.0
9504,CA00-0000018580,2006,7,Los Angeles,Calabasas,1,1,White,1,Simple Assault,Violent Crimes,Lake/Waterway/Beach,Anti-Jewish,Religion,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9505,CA00-0000019033,2006,11,Los Angeles,Calabasas,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,None,Damage to vehicle,4.0
9506,CA00-0000017853,2006,1,Los Angeles,Malibu,1,0,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Graffiti,4.0
9507,CA00-0000019165,2006,12,Los Angeles,Malibu,1,0,Unknown,0,Larceny-Theft,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,None,Other,4.0
9508,CA00-0000018999,2006,11,San Diego,Lemon Grove,1,1,Black or African American,6,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9509,CA00-0000018029,2006,1,San Diego,Santee,1,1,White,4,Robbery,Violent Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,4.0
9510,CA00-0000018028,2006,3,San Diego,Santee,1,1,White,1,Intimidation,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,4.0
9511,CA00-0000018037,2006,3,San Diego,Santee,1,1,Unknown,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
9512,CA00-0000018065,2006,3,San Diego,Santee,1,0,Unknown,1,Burglary,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,4.0
9513,CA00-0000018108,2006,4,San Diego,Santee,3,3,White,3,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9514,CA00-0000018269,2006,5,San Diego,Santee,1,1,White,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other gun (pellet, BB, stun gun, etc.)",Other,4.0
9515,CA00-0000018270,2006,5,San Diego,Santee,1,1,Hispanic,1,Intimidation,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,4.0
9516,CA00-0000018776,2006,9,San Diego,Santee,2,2,White,1,Aggravated Assault,Violent Crimes,School/college,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9517,CA00-0000018343,2006,5,San Diego,Poway,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,None,Other,4.0
9518,CA00-0000018881,2006,10,San Diego,Poway,2,2,White,3,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,4.0
9519,CA00-0000019141,2006,11,San Diego,Poway,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,None,Annoying telephone calls/fax,4.0
9520,CA00-0000018344,2006,6,San Diego,Encinitas,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9521,CA00-0000018779,2006,9,San Diego,Encinitas,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,4.0
9522,CA00-0000018998,2006,11,San Diego,Encinitas,1,1,Hispanic,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
9523,CA00-0000019369,2007,1,Alameda,Alameda,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Graffiti,2.0
9524,CA00-0000019396,2007,1,Alameda,Berkeley,1,1,White,1,Intimidation,Violent Crimes,Other/Unknown,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,None,Threatening letters/flyers/email,2.0
9525,CA00-0000019445,2007,2,Alameda,Berkeley,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,2.0
9526,CA00-0000019849,2007,5,Alameda,Berkeley,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,2.0
9527,CA00-0000019377,2007,2,Alameda,Fremont,1,1,White,1,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,2.0
9528,CA00-0000019843,2007,4,Alameda,Fremont,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,2.0
9529,CA00-0000019841,2007,5,Alameda,Fremont,5,5,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Graffiti,2.0
9530,CA00-0000019842,2007,5,Alameda,Fremont,1,1,White,1,Intimidation,Violent Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Person,None,Threatening letters/flyers/email,2.0
9531,CA00-0000020262,2007,7,Alameda,Livermore,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,None,Annoying telephone calls/fax,2.0
9532,CA00-0000020679,2007,11,Alameda,Livermore,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Rock throwing,2.0
9533,CA00-0000019461,2007,2,Alameda,Oakland,1,1,Black or African American,3,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,2.0
9534,CA00-0000019497,2007,3,Alameda,Oakland,1,1,Black or African American,1,Simple Assault,Violent Crimes,Service/Gas Station,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,2.0
9535,CA00-0000019767,2007,4,Alameda,Oakland,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Protestant,Religion,Religious,None,Graffiti,2.0
9536,CA00-0000019818,2007,5,Alameda,Oakland,1,1,Black or African American,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,2.0
9537,CA00-0000019942,2007,6,Alameda,Oakland,1,1,Black or African American,1,Intimidation,Violent Crimes,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9538,CA00-0000019943,2007,6,Alameda,Oakland,1,1,Black or African American,2,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9539,CA00-0000020599,2007,9,Alameda,Oakland,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,2.0
9540,CA00-0000020534,2007,10,Alameda,Oakland,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9541,CA00-0000020553,2007,10,Alameda,Oakland,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Graffiti,2.0
9542,CA00-0000020627,2007,11,Alameda,Oakland,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,2.0
9543,CA00-0000020628,2007,11,Alameda,Oakland,4,4,Black or African American,1,Simple Assault,Violent Crimes,Field/Woods/Park,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,2.0
9544,CA00-0000020629,2007,11,Alameda,Oakland,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Rock throwing,2.0
9545,CA00-0000020800,2007,12,Alameda,Oakland,1,1,Black or African American,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,None,Verbal slurs,2.0
9546,CA00-0000020801,2007,12,Alameda,Oakland,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Other,2.0
9547,CA00-0000020802,2007,12,Alameda,Oakland,1,1,Unknown,0,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Verbal slurs,2.0
9548,CA00-0000019372,2007,1,Alameda,Pleasanton,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,2.0
9549,CA00-0000020224,2007,8,Alameda,San Leandro,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,2.0
9550,CA00-0000020350,2007,9,Alameda,San Leandro,1,1,White,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,2.0
9551,CA00-0000020611,2007,11,Alameda,San Leandro,1,1,Unknown,0,Intimidation,Violent Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Person,None,Annoying telephone calls/fax,2.0
9552,CA00-0000020711,2007,12,Alameda,San Leandro,2,2,White,1,Intimidation,Violent Crimes,Restaurant,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9553,CA00-0000020712,2007,12,Alameda,San Leandro,1,1,Hispanic,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9554,CA00-0000020713,2007,12,Alameda,San Leandro,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9555,CA00-0000019589,2007,3,Alameda,Union City,1,1,Asian/Pacific Islander,1,Intimidation,Violent Crimes,Air/Bus/Train Terminal,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,2.0
9556,CA00-0000019751,2007,4,Alameda,Union City,1,1,Hispanic,4,Intimidation,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,2.0
9557,CA00-0000019752,2007,4,Alameda,Union City,1,1,Hispanic,2,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Verbal slurs,2.0
9558,CA00-0000019757,2007,4,Alameda,Union City,1,1,Black or African American,2,Robbery,Violent Crimes,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation,Person,Handgun,Verbal slurs,2.0
9559,CA00-0000019773,2007,4,Alameda,Union City,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,None,Graffiti,2.0
9560,CA00-0000019774,2007,4,Alameda,Union City,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Business,None,Graffiti,2.0
9561,CA00-0000020321,2007,7,Alameda,Union City,1,0,Hispanic,1,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Black or African American,Race/Ethnicity/Ancestry,Religious,None,Graffiti,2.0
9562,CA00-0000020752,2007,10,Alameda,Dublin,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Graffiti,2.0
9563,CA00-0000019520,2007,3,Alameda,UC Berkeley,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Jewish,Religion,Government,None,Graffiti,2.0
9564,CA00-0000019801,2007,5,Alameda,UC Berkeley,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Government,None,Graffiti,2.0
9565,CA00-0000020085,2007,7,Alameda,UC Berkeley,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,None,Graffiti,2.0
9566,CA00-0000019554,2007,2,Amador,Amador Co. Sheriff's Department,2,2,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.0
9567,CA00-0000020264,2007,7,Amador,Amador Co. Sheriff's Department,3,3,Unknown,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.0
9568,CA00-0000020510,2007,9,Amador,Amador Co. Sheriff's Department,1,1,White,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
9569,CA00-0000020638,2007,11,Amador,Amador Co. Sheriff's Department,2,2,American Indian or Alaska Native,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
9570,CA00-0000019368,2007,1,Butte,Chico,4,4,White,2,Intimidation,Violent Crimes,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Verbal slurs,2.0
9571,CA00-0000019494,2007,3,Butte,Chico,2,2,White,5,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,2.0
9572,CA00-0000019815,2007,6,Butte,Chico,5,5,White,1,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,2.0
9573,CA00-0000019833,2007,6,Butte,Chico,1,1,Unknown,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Verbal slurs,2.0
9574,CA00-0000020306,2007,9,Butte,Chico,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,2.0
9575,CA00-0000019538,2007,1,Butte,Paradise,1,1,Hispanic,3,Simple Assault,Violent Crimes,Field/Woods/Park,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,2.0
9576,CA00-0000020040,2007,7,Calaveras,Calaveras Co. Sheriff's Department,3,3,Group of Multiple Races,3,Aggravated Assault,Violent Crimes,Lake/Waterway/Beach,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,2.0
9577,CA00-0000019911,2007,6,Calaveras,Angels Camp,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Other/Unknown,Anti-Gay (Male),Sexual Orientation,Business,None,Daubing of swastika,2.0
9578,CA00-0000020112,2007,8,Calaveras,Angels Camp,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Jewish,Religion,Government,None,Graffiti,2.0
9579,CA00-0000020507,2007,9,Colusa,Colusa Co. Sheriff's Department,1,1,White,3,Simple Assault,Violent Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,2.0
9580,CA00-0000020220,2007,7,Contra Costa,Contra Costa Co. Sheriff's Department,1,1,Group of Multiple Races,5,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.0
9581,CA00-0000020381,2007,9,Contra Costa,Antioch,1,1,Hispanic,1,Simple Assault,Violent Crimes,Grocery/Supermarket,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,0.0
9582,CA00-0000020532,2007,9,Contra Costa,Antioch,1,1,White,2,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Physical Disability,Disability,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.0
9583,CA00-0000020764,2007,12,Contra Costa,Antioch,4,4,White,3,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Verbal slurs,0.0
9584,CA00-0000019373,2007,1,Contra Costa,Brentwood,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Jewish,Religion,Government,None,Graffiti,0.0
9585,CA00-0000020254,2007,8,Contra Costa,Brentwood,6,6,Unknown,0,Burglary,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.0
9586,CA00-0000020348,2007,9,Contra Costa,Clayton,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.0
9587,CA00-0000019370,2007,1,Contra Costa,Concord,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Atheism/Agnosticism,Religion,Religious,None,Graffiti,0.0
9588,CA00-0000019905,2007,5,Contra Costa,Concord,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.0
9589,CA00-0000019906,2007,5,Contra Costa,Concord,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.0
9590,CA00-0000020011,2007,6,Contra Costa,Concord,1,1,Black or African American,1,Intimidation,Violent Crimes,School/college,Anti-Lesbian,Sexual Orientation,Person,None,Verbal slurs,0.0
9591,CA00-0000020237,2007,8,Contra Costa,Concord,3,3,White,1,Simple Assault,Violent Crimes,Other/Unknown,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
9592,CA00-0000020433,2007,9,Contra Costa,Concord,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Jewish,Religion,Person,None,Damage to vehicle,0.0
9593,CA00-0000020753,2007,12,Contra Costa,Concord,1,1,Unknown,1,Intimidation,Violent Crimes,School/college,Anti-Jewish,Religion,Person,None,Annoying telephone calls/fax,0.0
9594,CA00-0000020045,2007,6,Contra Costa,Hercules,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.0
9595,CA00-0000020271,2007,8,Contra Costa,Pinole,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,0.0
9596,CA00-0000020687,2007,12,Contra Costa,Pinole,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.0
9597,CA00-0000019564,2007,3,Contra Costa,Pleasant Hill,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.0
9598,CA00-0000019874,2007,5,Contra Costa,Pleasant Hill,1,1,White,1,Simple Assault,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
9599,CA00-0000019371,2007,1,Contra Costa,Richmond,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.0
9600,CA00-0000019374,2007,1,Contra Costa,Richmond,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.0
9601,CA00-0000019664,2007,4,Contra Costa,Richmond,3,3,Unknown,0,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Damage to vehicle,0.0
9602,CA00-0000020338,2007,9,Contra Costa,Richmond,3,3,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
9603,CA00-0000020339,2007,9,Contra Costa,Richmond,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.0
9604,CA00-0000020563,2007,10,Contra Costa,San Pablo,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Department/Discount Store,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,None,Daubing of swastika,0.0
9605,CA00-0000020285,2007,6,Contra Costa,Walnut Creek,4,4,Unknown,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,0.0
9606,CA00-0000020284,2007,7,Contra Costa,Walnut Creek,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Field/Woods/Park,Anti-Jewish,Religion,Government,None,Graffiti,0.0
9607,CA00-0000020463,2007,8,Contra Costa,Walnut Creek,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Drug Store/Dr Office/Hospital,Anti-Jewish,Religion,Business,None,Daubing of swastika,0.0
9608,CA00-0000020614,2007,11,Contra Costa,Walnut Creek,1,1,Hispanic,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,0.0
9609,CA00-0000020221,2007,7,Contra Costa,Lafayette,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.0
9610,CA00-0000019835,2007,5,Contra Costa,East Bay Reg. Park Dist. - Contra Costa,1,1,White,1,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.0
9611,CA00-0000020436,2007,9,Contra Costa,Danville,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,0.0
9612,CA00-0000019375,2007,1,Contra Costa,San Ramon,1,1,Unknown,0,Intimidation,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,0.0
9613,CA00-0000019376,2007,1,Contra Costa,San Ramon,1,1,Unknown,0,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,0.0
